what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1341316939572
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341316942666
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1341316948259
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341316952118
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341316991524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341316991524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341316991602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341316997477
error,log,,,"Internal Error",1341317040913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1341317047069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1341317047382
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1341317047866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1341317048210
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1341317048507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1341317051350
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341317136598
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341317137880
error,log,,,"Unhandled event loop exception",1341317137895
error,log,,,"Unhandled event loop exception",1341317138567
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341317140458
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1341317141801
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317173613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317173801
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341317184660
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1341317185629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317185644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317185910
error,log,,,"Internal Error",1341317190097
error,log,,,"Internal Error",1341317190816
error,log,,,"Internal Error",1341317196644
error,log,,,"Internal Error",1341317199613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341317206706
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1341317207472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317207488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317207972
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317217112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317219284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317225019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341317225159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341317227831
