what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441839937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441840516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441840609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441842187
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342441845999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441846015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441846327
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342441851233
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342441856451
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1342441859231
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1342441860919
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342441861856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441861856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441862122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1342441868355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1342441870870
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342441888399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441888414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441888617
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342441890367
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342441897366
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342441934251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441934267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342441934532
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342441936579
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342441944625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342441945562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342441947515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342441947687
