what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1343202986345
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1343202987767
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343202992033
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1343202996455
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1343203011564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1343203019361
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1343203024361
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203025220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1343203032142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203033783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203035392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203036002
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203037783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203040080
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1343203043330
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1343203045205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1343203064627
error,log,,,"Unexpected runtime error while computing a text hover",1343203070189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1343203106236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203144941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203146159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203166370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203172571
error,log,,,"IStructuredDocumentRegion management failed.",1343203174257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1343203176741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203194937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203194937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203195312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203213852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203222005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203222005
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203222364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203231329
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1343203233656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1343203236421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203239045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203239435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203239529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1343203241013
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1343203241029
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1343203241060
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1343203241091
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1343203247432
