what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342700706937
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1342700707499
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1342700733212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700735228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700744116
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342700745444
error,log,,,"Internal Error",1342700747006
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342700748053
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1342700753255
error,log,,,"Internal Error",1342700756254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700762222
error,log,,,"Internal Error",1342700762394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700762472
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342700764456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342700764596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1342700791715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1342700794793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1342700795371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700796636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700809540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700842860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700843157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700843298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342700844751
