what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431853137
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431859061
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431860968
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431867580
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431870347
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431871863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431878053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431879882
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431884555
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431887666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431887682
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431887947
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342431890386
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431893309
error,log,,,"Internal Error",1342431902781
error,log,,,"Internal Error",1342431903313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431905095
error,log,,,"Internal Error",1342431905235
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431905423
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342431907564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1342431907689
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1342431908768
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431910753
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431914739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431914755
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431915083
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431917193
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431918631
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431934434
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431934466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431935794
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431938624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431938624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431938874
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431948721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431948737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431948956
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342431951535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431951551
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342431951769
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342431956318
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432014060
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432018140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432018140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432018374
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432023282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432023298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432023532
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432025283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432045650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432045650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432045776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432047980
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432077210
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432079539
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432079555
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432079852
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342432084181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432086401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432088542
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432089480
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432096374
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432098453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432098468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432102376
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432104424
error,log,,,"Internal Error",1342432163844
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432177468
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432179500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432179515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432180812
error,log,,,"Internal Error",1342432181437
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432190843
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432203530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432203546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432203734
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432225733
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432225749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432225983
error,log,,,"Internal Error",1342432228327
error,log,,,"Internal Error",1342432235717
error,log,,,"Internal Error",1342432253123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1342432267639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1342432270513
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432275201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432275217
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432275388
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432279232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432281373
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432282966
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1342432282982
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432284544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432284560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432284857
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432289466
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432293607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432293622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432293857
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432307685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432307685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432307935
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342432310263
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342432314856
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1342432318606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1342432318622
